TimeStamp,Date,Time,User,Tweet,Text,Location,Sentiment,Score,Pos_Score,Neg_Score,Neu_Score
2022-06-18 23:59:59+00:00,2022-06-18,23:59:59,FabriikX,"'Twas the night before #FathersDay... ✨ 

Have you submitted your artwork yet to our Father's Day NFT collection? I… https://t.co/6p63jzB4LQ","twas the night before fathersday ✨ 

have you submitted your artwork yet to our fathers day nft collection i… httpstcopjzblq",,0,0.0,0.0,0.0,0.0
2022-06-18 23:59:59+00:00,2022-06-18,23:59:59,dcd728,Yeah it’s #SunKingSunday but also #FathersDay #LouisXIV #Dauphin #GeorgeBlagden https://t.co/k4n35fxr1z,yeah it’s sunkingsunday but also fathersday louisxiv dauphin georgeblagden httpstcoknfxrz,Massachusetts USA,1,0.1531,0.1531,0.0,0.0
2022-06-18 23:59:54+00:00,2022-06-18,23:59:54,MaLanterne,"Vintage Perpetual Calendar, Black Color Desk Boxed Calendar,  Dutch Perpetual Calendar, Made in Holland, 70s… https://t.co/hsJ3bYGv21",vintage perpetual calendar black color desk boxed calendar  dutch perpetual calendar made in holland s… httpstcohsjbygv,"Crete, Greece",0,0.0,0.0,0.0,0.0
2022-06-18 23:59:48+00:00,2022-06-18,23:59:48,BearFoodKitchen,Let’s add some lemon basil garlic to these babies. #FathersDay #shrimp #food #Grateful #delicious #beautiful… https://t.co/IX9Enqlhvi,let’s add some lemon basil garlic to these babies fathersday shrimp food grateful delicious beautiful… httpstcoixenqlhvi,,1,0.7717,0.7717,0.0,0.0
2022-06-18 23:59:45+00:00,2022-06-18,23:59:45,Champions_odds1,"MY CUSTOMERS 👍👍👍👍👍👍👍👍👍👍👍 WE LOVE YOU SO MUCH 📩 @Champions_odds1 
Whatsapp https://t.co/b9vPLwucbv
#CanadianGP… https://t.co/E44sIv0mcP","my customers 👍👍👍👍👍👍👍👍👍👍👍 we love you so much 📩 championsodds 
whatsapp httpstcobvplwucbv
canadiangp… httpstcoesivmcp","Fullerton, CA",1,0.6369,0.6369,0.0,0.0
2022-06-18 23:59:33+00:00,2022-06-18,23:59:33,CellySalt,"Happy Father’s Day! “Celly”brate with dad, stepdad, billet dad, adoptive dad, grandfather or a father figure that h… https://t.co/Y91M6pmw16",happy father’s day “celly”brate with dad stepdad billet dad adoptive dad grandfather or a father figure that h… httpstcoympmw,"Canton, MI",1,0.5719,0.5719,0.0,0.0
2022-06-18 23:59:21+00:00,2022-06-18,23:59:21,reyv234567,#TeamAscott extends a Happy Father's Day to all the loving and supportive dads out there. May this day be spent wit… https://t.co/M7HOY1fXyB,teamascott extends a happy fathers day to all the loving and supportive dads out there may this day be spent wit… httpstcomhoyfxyb,,1,0.8834,0.8834,0.0,0.0
2022-06-18 23:59:00+00:00,2022-06-18,23:59:00,cristinacoach,"Who else use to make Shutterfly or photo books for their kids as they were growing up?
https://t.co/FOmF7kQvUb… https://t.co/ShXBjGjSSZ","who else use to make shutterfly or photo books for their kids as they were growing up
httpstcofomfkqvub… httpstcoshxbjgjssz",,1,0.1779,0.1779,0.0,0.0
2022-06-18 23:58:29+00:00,2022-06-18,23:58:29,SinghTheHunter,Think of lakhs of children who are #missing their #loving #Papa and want to see or meet him but cannot just because… https://t.co/NE49tk7TKo,think of lakhs of children who are missing their loving papa and want to see or meet him but cannot just because… httpstconetktko,,1,0.25,0.25,0.0,0.0
2022-06-18 23:58:23+00:00,2022-06-18,23:58:23,GrillinFool,Just a little pre-Father’s Dat celebration for me. 18 ounces of Uber marbled bliss. And all she’s getting is some o… https://t.co/JZ9rXwRcGo,just a little prefather’s dat celebration for me  ounces of uber marbled bliss and all she’s getting is some o… httpstcojzrxwrcgo,St. Louis,1,0.6096,0.6096,0.0,0.0
2022-06-18 23:58:21+00:00,2022-06-18,23:58:21,BirdsWatcherFS,This team showed heart today but just couldn't come back twice...we go again tomorrow on #FathersDay #Birdland,this team showed heart today but just couldnt come back  go again tomorrow on fathersday birdland,"Baltimore, MD",0,0.0,0.0,0.0,0.0
2022-06-18 23:58:11+00:00,2022-06-18,23:58:11,ePerformax,"We’re honoring our fathers for their dedication, commitment, and love for their families. We wish you a very Happy… https://t.co/t2WL1UJOMO",we’re honoring our fathers for their dedication commitment and love for their families we wish you a very happy… httpstcotwlujomo,Pasay City,1,0.9153,0.9153,0.0,0.0
2022-06-18 23:58:11+00:00,2022-06-18,23:58:11,andrew_beha,Happy Father’s Day to the best dad ever we miss you so very much life is now so empty without you here Love you for… https://t.co/WTfIoKDuhC,happy father’s day to the best dad ever we miss you so very much life is now so empty without you here love you for… httpstcowtfiokduhc,,1,0.3748,0.3748,0.0,0.0
